Country,Year,Crop,Area,Production,Yield,Rainfall_mm,Temperature_C,Pesticide_Use
Albania,1990,Maize,36613,1485.0,16.37,1485.0,16.37,121.0
Albania,1991,Maize,29068,1485.0,15.36,1485.0,15.36,121.0
Albania,1992,Maize,24876,1485.0,16.06,1485.0,16.06,121.0
Albania,1993,Maize,24185,1485.0,16.05,1485.0,16.05,121.0
Albania,1994,Maize,25848,1485.0,16.96,1485.0,16.96,201.0
Albania,1995,Maize,31300,1485.0,15.67,1485.0,15.67,251.0
Albania,1996,Maize,32604,1485.0,15.64,1485.0,15.64,313.96
Albania,1997,Maize,31862,1485.0,15.9,1485.0,15.9,376.93
Albania,1998,Maize,33416,1485.0,16.27,1485.0,16.27,439.89
Albania,1999,Maize,37455,1485.0,16.57,1485.0,16.57,502.86
Albania,2000,Maize,38811,1485.0,16.67,1485.0,16.67,565.82
Albania,2001,Maize,38135,1485.0,16.59,1485.0,16.59,628.79
Albania,2002,Maize,39460,1485.0,16.47,1485.0,16.47,691.75
Albania,2004,Maize,46197,1485.0,16.16,1485.0,16.16,817.68
Albania,2005,Maize,45442,1485.0,15.67,1485.0,15.67,880.64
Albania,2006,Maize,50111,1485.0,15.92,1485.0,15.92,943.61
Albania,2007,Maize,46732,1485.0,16.67,1485.0,16.67,1006.57
Albania,2008,Maize,50000,1485.0,16.71,1485.0,16.71,1069.54
Albania,2009,Maize,55693,1485.0,16.73,1485.0,16.73,1132.5
Albania,2010,Maize,66790,1485.0,16.52,1485.0,16.52,1311.17
Albania,2011,Maize,59869,1485.0,16.45,1485.0,16.45,1302.63
Albania,2012,Maize,67290,1485.0,16.7,1485.0,16.7,766.25
Albania,2013,Maize,69533,1485.0,17.41,1485.0,17.41,982.32
Algeria,1990,Maize,16500,89.0,17.48,89.0,17.48,1828.92
Algeria,1991,Maize,19231,89.0,16.26,89.0,16.26,2461.8
Algeria,1992,Maize,22828,89.0,16.27,89.0,16.27,1215.47
Algeria,1993,Maize,12500,89.0,17.0,89.0,17.0,1021.89
Algeria,1994,Maize,4512,89.0,17.88,89.0,17.88,1255.02
Algeria,1995,Maize,16115,89.0,17.36,89.0,17.36,2697.09
Algeria,1996,Maize,17154,89.0,16.76,89.0,16.76,479.77
Algeria,1997,Maize,21417,89.0,17.84,89.0,17.84,401.22
Algeria,1998,Maize,17222,89.0,17.14,89.0,17.14,322.84
Algeria,1999,Maize,22375,89.0,17.97,89.0,17.97,654.45
Algeria,2000,Maize,36186,89.0,17.9,89.0,17.9,603.67
Algeria,2001,Maize,27175,89.0,18.13,89.0,18.13,710.11
Algeria,2002,Maize,33480,89.0,17.85,89.0,17.85,816.55
Algeria,2004,Maize,31729,89.0,17.38,89.0,17.38,3747.86
Algeria,2005,Maize,33864,89.0,17.19,89.0,17.19,3662.87
Algeria,2006,Maize,65668,89.0,18.13,89.0,18.13,4110.72
Algeria,2007,Maize,85625,89.0,17.42,89.0,17.42,5390.79
Algeria,2008,Maize,44714,89.0,17.55,89.0,17.55,11556.12
Algeria,2009,Maize,30914,89.0,17.78,89.0,17.78,3867.99
Algeria,2010,Maize,25827,89.0,17.59,89.0,17.59,1295.88
Algeria,2011,Maize,23374,89.0,17.79,89.0,17.79,13861.76
Algeria,2012,Maize,25583,89.0,17.91,89.0,17.91,17379.76
Algeria,2013,Maize,33649,89.0,17.65,89.0,17.65,17278.65
Angola,1990,Maize,2736,1010.0,24.12,1010.0,24.12,64.0
Angola,1991,Maize,4013,1010.0,24.02,1010.0,24.02,79.0
Angola,1992,Maize,3778,1010.0,23.96,1010.0,23.96,23.0
Angola,1993,Maize,2627,1010.0,24.15,1010.0,24.15,169.0
Angola,1994,Maize,2463,1010.0,24.04,1010.0,24.04,25.5
Angola,1995,Maize,3517,1010.0,24.56,1010.0,24.56,336.0
Angola,1996,Maize,6993,1010.0,24.11,1010.0,24.11,40.0
Angola,1997,Maize,5959,1010.0,24.06,1010.0,24.06,40.0
Angola,1998,Maize,7396,1010.0,24.96,1010.0,24.96,40.0
Angola,1999,Maize,6361,1010.0,24.37,1010.0,24.37,40.0
Angola,2000,Maize,5745,1010.0,24.41,1010.0,24.41,40.0
Angola,2001,Maize,5754,1010.0,24.43,1010.0,24.43,40.0
Angola,2002,Maize,6706,1010.0,24.79,1010.0,24.79,40.0
Angola,2004,Maize,5404,1010.0,24.22,1010.0,24.22,40.0
Angola,2005,Maize,6736,1010.0,24.41,1010.0,24.41,40.0
Angola,2006,Maize,4687,1010.0,24.14,1010.0,24.14,40.0
Angola,2007,Maize,5091,1010.0,24.24,1010.0,24.24,40.0
Angola,2008,Maize,7946,1010.0,24.27,1010.0,24.27,40.0
Angola,2009,Maize,6614,1010.0,24.33,1010.0,24.33,40.0
Angola,2010,Maize,7200,1010.0,24.44,1010.0,24.44,40.0
Angola,2011,Maize,7376,1010.0,24.15,1010.0,24.15,40.0
Angola,2012,Maize,7770,1010.0,24.24,1010.0,24.24,40.0
Angola,2013,Maize,9467,1010.0,24.55,1010.0,24.55,40.0
Argentina,1990,Maize,34608,591.0,17.46,591.0,17.46,26156.0
Argentina,1990,Maize,34608,591.0,17.46,591.0,17.67,26156.0
Argentina,1990,Maize,34608,591.0,17.67,591.0,17.46,26156.0
Argentina,1990,Maize,34608,591.0,17.67,591.0,17.67,26156.0
